fr,gloss,category
"La justice sociale ne peut plus attendre, c'est notre priorité absolue.",JUSTICE SOCIAL ATTENDRE PLUS IMPOSSIBLE POSS-1-PL PRIORITÉ ABSOLU,discours_campagne
Nous garantirons l'accès universel aux droits fondamentaux dès 2025.,DROIT FONDAMENTAL+ 2025 ACCÈS UNIVERSEL IX-1-PL GARANTIR,discours_campagne
Votre sécurité juridique sera renforcée par une réforme constitutionnelle ambitieuse.,SÉCURITÉ JURIDIQUE IX-2-PL RÉFORME CONSTITUTION AMBITIEUX RENFORCER,discours_campagne
Le droit à un procès équitable doit devenir une réalité pour tous les citoyens.,PROCÈS ÉQUITABLE DROIT CITOYEN+ RÉALITÉ DEVENIR DEVOIR,discours_campagne
Je m'engage à doubler les effectifs de la protection judiciaire de la jeunesse.,PROTECTION JUDICIAIRE JEUNESSE EFFECTIF+ DOUBLER IX-1 ENGAGER,discours_campagne
"L'égalité devant la loi n'est pas négociable, c'est un pilier de notre République.",LOI DEVANT ÉGALITÉ NÉGOCIER IMPOSSIBLE RÉPUBLIQUE PILIER,discours_campagne
Nous créerons 5 000 postes supplémentaires dans les tribunaux d'instance.,TRIBUNAL INSTANCE POSTE+ 5000 SUPPLÉMENTAIRE IX-1-PL CRÉER,discours_campagne
La lutte contre les discriminations systémique sera au cœur de notre action.,DISCRIMINATION SYSTÉMIQUE LUTTE ACTION POSS-1-PL CŒUR,discours_campagne
Je propose un référendum pour ancrer les droits environnementaux dans la Constitution.,DROIT ENVIRONNEMENT CONSTITUTION ANCRER RÉFÉRENDUM IX-1 PROPOSER,discours_campagne
Les peines planchers pour les violences conjugales seront enfin appliquées.,VIOLENCE CONJUGAL PEINE PLANCHER FINALEMENT APPLIQUER,discours_campagne
Notre projet prévoit une justice plus rapide et plus proche des territoires.,JUSTICE RAPIDE TERRITOIRE+ PROCHE PROJET POSS-1-PL PRÉVOIR,discours_campagne
Nous rétablirons la confiance dans les institutions par la transparence totale.,INSTITUTION+ CONFIANCE RÉTABLIR TRANSPARENCE TOTAL IX-1-PL,discours_campagne
Le droit au logement décent doit être effectif pour chaque famille française.,LOGEMENT DÉCENT DROIT FAMILLE FRANÇAIS+ EFFECTIF DEVOIR,discours_campagne
Je défendrai bec et ongles l'indépendance de la justice face au pouvoir politique.,JUSTICE INDÉPENDANCE POUVOIR POLITIQ DEVANT IX-1 DÉFENDRE FORCE,discours_campagne
Notre réforme pénale vise à réduire la surpopulation carcérale de 30%.,RÉFORME PÉNAL PRISON SURPOPULATION 30% RÉDUIRE VISER,discours_campagne
Les victimes auront désormais un accompagnement juridique gratuit et immédiat.,VICTIME+ ACCOMPAGNEMENT JURIDIQUE GRATUIT IMMÉDIAT DÉSORMAIS AVOIR,discours_campagne
Nous mettrons fin aux zones de non-droit qui gangrènent nos banlieues.,ZONE NON-DROIT BANLIEUE+ FIN METTRE IX-1-PL,discours_campagne
Le droit à l'oubli numérique sera étendu à toutes les condamnations mineures.,OUBLI NUMÉRIQUE DROIT CONDAMNATION MINEUR+ ÉTENDRE,discours_campagne
"Je veux une justice qui protège les plus vulnérables, pas les privilégiés.",JUSTICE VULNÉRABLE+ PROTÉGER PRIVILÉGIÉ PROTÉGER NON IX-1 VOULOIR,discours_campagne
Notre programme prévoit la création de maisons de justice dans chaque département.,MAISON JUSTICE DÉPARTEMENT+ CRÉER PROGRAMME POSS-1-PL PRÉVOIR,discours_campagne
Les délais de jugement pour les affaires civiles seront divisés par deux.,JUGEMENT AFFAIRE CIVIL DÉLAI 2 DIVISER,discours_campagne
Je m'oppose fermement à toute privatisation des services publics judiciaires.,SERVICE PUBLIC JUDICIAIRE PRIVATISATION IX-1 OPPOSE FERME,discours_campagne
"Notre priorité : une justice accessible, lisible et efficace pour tous.",JUSTICE ACCESSIBLE LISIBLE EFFICACE CITOYEN+ PRIORITÉ POSS-1-PL,discours_campagne
Les peines alternatives aux emprisonnements courts seront systématisées.,PEINE ALTERNATIF PRISON COURT SYSTÉMATISER,discours_campagne
Je propose un moratoire sur les expulsions locatives pendant la crise économique.,EXPULSION LOCATIF CRISE ÉCONOMIQUE MORATOIRE IX-1 PROPOSER,discours_campagne
Notre réforme garantira l'effectivité des droits des personnes handicapées.,RÉFORME DROIT PERSONNE HANDICAP+ EFFECTIVITÉ GARANTIR,discours_campagne
La justice environnementale sera intégrée dans tous les grands projets publics.,JUSTICE ENVIRONNEMENT PROJET PUBLIC+ GRAND INTÉGRER,discours_campagne
Je veux que chaque Français puisse saisir directement le Défenseur des droits.,FRANÇAIS+ DÉFENSEUR DROIT SAISIR DIRECT IX-1 VOULOIR,discours_campagne
Nous renforcerons les moyens de la justice anti-corruption avec 200 magistrats supplémentaires.,JUSTICE ANTI-CORRUPTION MAGISTRAT+ 200 SUPPLÉMENTAIRE MOYEN+ RENFORCER IX-1-PL,discours_campagne
