fr,gloss,category
Je vote pour ce candidat.,IX-1 CANDIDAT VOTE,svo_simple
Tu écoutes les infos.,IX-2 INFO ÉCOUTER,svo_simple
Il signe une pétition.,IX-3 PÉTITION SIGNER,svo_simple
Nous manifestons contre cette loi.,IX-1-PL LOI CONTRE MANIFESTER,svo_simple
Vous débattez sur la politique.,IX-2-PL POLITIQUE DÉBATTRE,svo_simple
Ils organisent une réunion.,IX-3-PL RÉUNION ORGANISER,svo_simple
Je parle avec mon député.,IX-1 DÉPUTÉ PARLER,svo_simple
Tu lis un journal.,IX-2 JOURNAL LIRE,svo_simple
Elle regarde un débat.,IX-3 DÉBAT REGARDER,svo_simple
Nous écoutons un discours.,IX-1-PL DISCOURS ÉCOUTER,svo_simple
Vous suivez l'actualité.,IX-2-PL ACTUALITÉ SUIVRE,svo_simple
Ils participent à une élection.,IX-3-PL ÉLECTION PARTICIPER,svo_simple
Je discute avec un ministre.,IX-1 MINISTRE DISCUTER,svo_simple
Tu regardes les résultats.,IX-2 RÉSULTAT REGARDER,svo_simple
Elle vote pour la première fois.,IX-3 VOTE PREMIÈRE FOIS,svo_simple
Nous soutenons ce parti.,IX-1-PL PARTI SOUTENIR,svo_simple
Vous critiquez le gouvernement.,IX-2-PL GOUVERNEMENT CRITIQUER,svo_simple
Ils défendent leurs idées.,IX-3-PL IDÉE DÉFENDRE,svo_simple
Je signe une pétition.,IX-1 PÉTITION SIGNER,svo_simple
Tu participes à une manifestation.,IX-2 MANIFESTATION PARTICIPER,svo_simple
Elle écoute un discours.,IX-3 DISCOURS ÉCOUTER,svo_simple
Nous lisons un article.,IX-1-PL ARTICLE LIRE,svo_simple
Vous regardez les infos.,IX-2-PL INFO REGARDER,svo_simple
Ils débattent sur la politique.,IX-3-PL POLITIQUE DÉBATTRE,svo_simple
Je discute avec un sénateur.,IX-1 SÉNATEUR DISCUTER,svo_simple
Tu regardes un débat.,IX-2 DÉBAT REGARDER,svo_simple
Elle suit l'actualité.,IX-3 ACTUALITÉ SUIVRE,svo_simple
Nous écoutons les résultats.,IX-1-PL RÉSULTAT ÉCOUTER,svo_simple
Vous participez à une élection.,IX-2-PL ÉLECTION PARTICIPER,svo_simple
Ils soutiennent ce candidat.,IX-3-PL CANDIDAT SOUTENIR,svo_simple
Je critique le gouvernement.,IX-1 GOUVERNEMENT CRITIQUER,svo_simple
Tu défends tes idées.,IX-2 IDÉE DÉFENDRE,svo_simple
Elle signe une pétition.,IX-3 PÉTITION SIGNER,svo_simple
Vous débattiez sur la politique.,IX-2-PL POLITIQUE DÉBATTRE,svo_simple
Je conduis une voiture.,IX-1 VOITURE CONDUIRE,svo_simple
Tu répares un vélo.,IX-2 VÉLO RÉPARER,svo_simple
Il achète un train.,IX-3 TRAIN ACHETER,svo_simple
Nous construisons un avion.,IX-1-PL AVION CONSTRUIRE,svo_simple
Vous utilisez un bus.,IX-2-PL BUS UTILISER,svo_simple
Ils fabriquent une moto.,IX-3-PL MOTO FABRIQUER,svo_simple
Je gare une bicyclette.,IX-1 BICYCLETTE GARER,svo_simple
Tu nettoies un camion.,IX-2 CAMION NETTOYER,svo_simple
Elle répare une trottinette.,IX-3 TROTTINETTE RÉPARER,svo_simple
Nous réparons une locomotive.,IX-1-PL LOCOTIVE RÉPARER,svo_simple
Vous conduisez un scooter.,IX-2-PL SCOOTER CONDUIRE,svo_simple
Ils achètent un hélicoptère.,IX-3-PL HÉLICOPTÈRE ACHETER,svo_simple
Je monte dans un taxi.,IX-1 TAXI MONTER,svo_simple
Tu descends d'un train.,IX-2 TRAIN DESCENDRE,svo_simple
Elle entre dans un bus.,IX-3 BUS ENTRER,svo_simple
Nous sortons d'une voiture.,IX-1-PL VOITURE SORTIR,svo_simple
Vous entrez dans un avion.,IX-2-PL AVION ENTRER,svo_simple
Ils descendent d'un vélo.,IX-3-PL VÉLO DESCENDRE,svo_simple
Je range une moto.,IX-1 MOTO RANGER,svo_simple
Tu laves un scooter.,IX-2 SCOOTER LAVER,svo_simple
Elle nettoie une bicyclette.,IX-3 BICYCLETTE NETTOYER,svo_simple
Nous réparons un camion.,IX-1-PL CAMION RÉPARER,svo_simple
Vous conduisez une trottinette.,IX-2-PL TROTTINETTE CONDUIRE,svo_simple
Ils achètent un taxi.,IX-3-PL TAXI ACHETER,svo_simple
Je gare un bus.,IX-1 BUS GARER,svo_simple
Tu répares une locomotive.,IX-2 LOCOTIVE RÉPARER,svo_simple
Elle conduit un hélicoptère.,IX-3 HÉLICOPTÈRE CONDUIRE,svo_simple
Nous utilisons un train.,IX-1-PL TRAIN UTILISER,svo_simple
Vous fabriquez une voiture.,IX-2-PL VOITURE FABRIQUER,svo_simple
Ils construisent un vélo.,IX-3-PL VÉLO CONSTRUIRE,svo_simple
Je monte dans un avion.,IX-1 AVION MONTER,svo_simple
Tu descends d'une trottinette.,IX-2 TROTTINETTE DESCENDRE,svo_simple
Elle entre dans une moto.,IX-3 MOTO ENTRER,svo_simple
Nous sortons d'un scooter.,IX-1-PL SCOOTER SORTIR,svo_simple
Vous entrez dans un taxi.,IX-2-PL TAXI ENTRER,svo_simple
Ils descendent d'un bus.,IX-3-PL BUS DESCENDRE,svo_simple
Je range un vélo.,IX-1 VÉLO RANGER,svo_simple
Tu laves une bicyclette.,IX-2 BICYCLETTE LAVER,svo_simple
Elle nettoie un camion.,IX-3 CAMION NETTOYER,svo_simple
Nous réparons un hélicoptère.,IX-1-PL HÉLICOPTÈRE RÉPARER,svo_simple
Vous conduisez une locomotive.,IX-2-PL LOCOTIVE CONDUIRE,svo_simple
Ils achètent une trottinette.,IX-3-PL TROTTINETTE ACHETER,svo_simple
Je gare un avion.,IX-1 AVION GARER,svo_simple
Tu répares un scooter.,IX-2 SCOOTER RÉPARER,svo_simple
Elle conduit un bus.,IX-3 BUS CONDUIRE,svo_simple
Nous utilisons une moto.,IX-1-PL MOTO UTILISER,svo_simple
Vous fabriquez un taxi.,IX-2-PL TAXI FABRIQUER,svo_simple
Ils construisent une bicyclette.,IX-3-PL BICYCLETTE CONSTRUIRE,svo_simple
Je prends mes médicaments.,IX-1 MÉDICAMENT PRENDRE,svo_simple
Tu mesures ta température.,IX-2 TEMPÉRATURE MESURER,svo_simple
Il consulte un médecin.,IX-3 MÉDECIN CONSULTER,svo_simple
Elle applique une pommade.,IX-3 POMMANDE APPLIQUER,svo_simple
Nous faisons un pansement.,IX-1-PL PANSEMENT FAIRE,svo_simple
Vous buvez de l'eau.,IX-2-PL EAU BOIRE,svo_simple
Ils prennent des vitamines.,IX-3-PL VITAMINE PRENDRE,svo_simple
Je nettoie mes plaies.,IX-1 PLAIE NETTOYER,svo_simple
Tu désinfectes la blessure.,IX-2 BLESSURE DÉSINFECTER,svo_simple
Il utilise des bandages.,IX-3 BANDAGE UTILISER,svo_simple
Elle prend un comprimé.,IX-3 COMPRIMÉ PRENDRE,svo_simple
Nous préparons une seringue.,IX-1-PL SERINGUE PRÉPARER,svo_simple
Vous injectez un vaccin.,IX-2-PL VACCIN INJECTER,svo_simple
Ils examinent un patient.,IX-3-PL PATIENT EXAMINER,svo_simple
Je prescris une ordonnance.,IX-1 ORDONNANCE PRESCRIRE,svo_simple
Tu prescris un traitement.,IX-2 TRAITEMENT PRESCRIRE,svo_simple
Il prescrit des antibiotiques.,IX-3 ANTIBIOTIQUE PRESCRIRE,svo_simple
Elle prescrit un médicament.,IX-3 MÉDICAMENT PRESCRIRE,svo_simple
Nous prescrivons une analyse.,IX-1-PL ANALYSE PRESCRIRE,svo_simple
Vous prescrivez une radiographie.,IX-2-PL RADIOGRAPHIE PRESCRIRE,svo_simple
Ils prescrivent un scanner.,IX-3-PL SCANNER PRESCRIRE,svo_simple
Je prescris une échographie.,IX-1 ÉCHOGRAPHIE PRESCRIRE,svo_simple
Tu prescris une IRM.,IX-2 IRM PRESCRIRE,svo_simple
Il prescrit une prise de sang.,IX-3 SANG PRENDRE,svo_simple
Elle prescrit une analyse d'urine.,IX-3 URINE ANALYSE,svo_simple
Nous prescrivons un électrocardiogramme.,IX-1-PL ÉLECTROCARDIOGRAMME PRESCRIRE,svo_simple
Vous prescrivez un test de grossesse.,IX-2-PL GROSSESSE TEST,svo_simple
Ils prescrivent un test de dépistage.,IX-3-PL DÉPISTAGE TEST,svo_simple
Je prescris une analyse de sang.,IX-1 SANG ANALYSE,svo_simple
Tu prescris une analyse d'urine.,IX-2 URINE ANALYSE,svo_simple
Il prescrit une analyse de selles.,IX-3 SELLE ANALYSE,svo_simple
Elle prescrit une analyse de sueur.,IX-3 SUEUR ANALYSE,svo_simple
Nous prescrivons une analyse de salive.,IX-1-PL SALIVE ANALYSE,svo_simple
