fr,gloss,category
Tu as déjà été à un concert de musique country ?,CONCERT MUSIQUE COUNTRY ALLER ?,lieux_batiments
Elle ne connaît aucun détail sur cette période coloniale.,IX-3 PERIODE COLONIAL DETAIL CONNAITRE AUCUN,negation_autres
Les médecins prescrivent des ordonnances.,MEDECIN+ ORDONNANCE PRESCRIRE,pluriels
Je veux du jus d'orange.,IX-1 JUS ORANGE VOULOIR,alimentation
Je lis des articles en ligne le soir.,SOIR ARTICLE LIRE EN-LIGNE IX-1,heure_horaires
Elle va à la plage.,PLAGE IX-3 ALLER,lieux
Je ne choisis pas les décorations pour la fête des enfants.,IX-1 FÊTE-ENFANT DÉCORATION CHOISIR PAS,negation_pas
"Souvent, nous faisons des pique-niques.",SOUVENT PIQUE-NIQUE FAIRE IX-1-PL,temps_present_habitude
Ce bureau est plus bien organisé que le mien.,BUREAU IX-1 PLUS BIEN ORGANISÉ,comparaisons
Elle est fière de sa nouvelle création.,IX-3 FIER NOUVELLE CRÉATION,sentiments_emotions
Il est difficile de terminer un livre long.,LIVRE LONG TERMINER DIFFICILE,il_impersonnel_adjectif
Le vélo de course est très léger.,VÉLO COURSE TRÈS LÉGER,adjectifs_descriptifs
Les magasins ferment tard le soir.,MAGASIN SOIR TARD FERMER,courses_achats
Le petit chien blanc aboie.,CHIEN PETIT BLANC ABOYER,adjectifs_descriptifs
Nous avons besoin de vis pour assembler les pièces.,VIS+ PIÈCE+ ASSEMBLER BESOIN AVOIR,education
Le prêtre a parlé pendant deux heures.,PRÊTRE PARLER 2 HEURE DURER,heure_horaires
Vous avez fini vos devoirs ?,DEVOIR+ POSS-2-PL FINIR IX-2-PL QUESTION,vie_quotidienne
Quoi ?,QUOI,questions
"Bientôt, tu vas assister à un spectacle de danse.",BIENTÔT IX-2 SPECTACLE DANSE ASSISTER,temps_futur
Où peut-on voter par procuration ?,VOTER PROCURATION OÙ,questions_ouvertes
Elle est jalouse de la collection de cactus de son amie.,POSS-3 AMIE CACTUS COLLECTION IX-3 JALOUS,sentiments_emotions
Tu as déjà lu la Torah ?,TORAH LIRE,communication_interaction
"Si je vends ma maison, je pourrai acheter une voiture.",IX-1 MAISON VENDRE SI VOITURE ACHETER POUVOIR,phrases_complexes_si_condition
Le patient a une fracture à l'épaule.,IX-3 PATIENT ÉPAULE FRACTURE AVOIR,transport
Est-ce que tu as vu l'exposition sur les impressionnistes ?,IX-2 EXPOSITION IMPRESSIONNISTE VOIR ?,questions_fermees
Les orages sont plus fréquents qu'en automne.,ORAGE AUTOMNE PLUS FRÉQUENT,comparaisons
Nous avons un guide touristique sur notre tablette.,IX-1-PL GUIDE TOURISTIQUE TABLETTE,voyages
"Le sol est sec, alors il faut arroser plus souvent.",TERRE SEC DONC ARROSER PLUS SOUVENT,cause_consequence
"Le mois prochain, tu iras à la bibliothèque.",MOIS PROCHAIN IX-2 BIBLIOTHEQUE ALLER,temps
Vous avez une ordonnance pour des examens ?,IX-2-PL EXAMEN+ ORDONNANCE AVOIR ?,sante
Le bus scolaire est arrivé en retard ce matin.,MATIN BUS SCOLAIRE RETARD ARRIVER,education
Il a déplacé le lit de la chambre.,IX-3 CHAMBRE LIT DÉPLACER,maison_logement
Elle prépare des desserts délicieux.,IX-3 DESSERT+ DELICIEUX PREPARER,temps_present_habitude
Je vous souhaite une bonne santé.,BONNE SANTÉ SOUHAITER,communication_interaction
Nous sommes impatients.,IX-1-PL IMPATIENT,adjectifs_etat_emotion
Mon oncle a un oiseau.,POSS-1 ONCLE OISEAU AVOIR,famille
Combien coûte ce repas ?,REPAS COÛTER COMBIEN,questions_ouvertes
Elles jouent au football tous les dimanches.,IX-3-PL TOUS DIMANCHE FOOTBALL JOUER,pronoms_vous_ils
Les températures chutent en hiver.,HIVER TEMPÉRATURE CHUTER,meteo_nature
Elle possède trois lions et cinq tigres.,IX-3 LION 3 TIGRE 5 POSSEDER,nombres_quantites
Ils ne viennent pas à la maison.,IX-3-PL MAISON VENIR NON,vie_quotidienne
"Il y a un mois, nous avons commencé à faire du kayak.",UN MOIS AVANT IX-1-PL KAYAK COMMENCER,temps_passe
"Le réseau est saturé, alors il faut attendre un peu.",SATURER DONC ATTENDRE,cause_consequence
Il est facile de remplacer une ampoule.,AMPOULE REMPLACER FACILE,il_impersonnel_adjectif
Ma sœur a trouvé une robe magnifique en solde.,SOEUR ROBE MAGNIFIQUE SOLDE TROUVER,courses_achats
Tu ne respectes pas les commandements.,IX-2 COMMANDEMENT RESPECTER PAS,negation_pas
Je range mes pièces dans une tirelire en forme de cœur.,IX-1 PIÈCE TIRELIRE CŒUR RANGER,temps_present_habitude
Ils ont acheté une nouvelle voiture et ils sont très contents.,IX-3-PL VOITURE NOUVELLE ACHETER CONTENT,phrases_complexes
Nous ne choisissons jamais de chemises.,IX-1-PL CHEMISE CHOISIR JAMAIS,negation_autres
"Il est distrait, mais il est très intelligent.",IX-3 DISTRAIT MAIS TRÈS INTELLIGENT,phrases_complexes_mais
Mon oncle a les cheveux blancs comme la neige fraîche.,POSS-1 ONCLE CHEVEUX BLANC NEIGE,descriptions_personnes
Vous avez vu le dernier livre de cet auteur ?,IX-2-PL VOIR LIVRE NOUVEAU AUTEUR,lieux_batiments
Je suis enthousiaste pour le prochain épisode.,IX-1 ENTHOUSIASTE ÉPISODE PROCHAIN,adjectifs_etat_emotion
Les acteurs sont très convaincants.,ACTEUR TRÈS CONVAINQUANT,adjectifs_descriptifs
Tu as oublié ton équipement de natation.,IX-2 ÉQUIPEMENT NATATION OUBLIER,loisirs_sport
Ta sœur est aussi intelligente que ta mère.,SŒUR MÈRE AUSSI INTELLIGENT,comparaisons
Je me suis couché tard à cause du film.,IX-1 FILM CAUSE TARD COUCHER,verbes_reflechis
Je veux jouer aux billes.,IX-1 BILLE+ JOUER VOULOIR,sante
Nous sommes surpris par cette décision.,DÉCISION SURPRISE IX-1-PL,sentiments_emotions
Vous ne comprenez jamais les instructions.,IX-2-PL INSTRUCTION+ COMPRENDRE JAMAIS,negations
Leurs équipes sont bonnes.,POSS-3-PL ÉQUIPE+ BON,possessifs
Je suis honoré de votre présence.,HONORÉ PRÉSENCE,communication_interaction
Il fait de la natation dans la piscine.,PISCINE IX-3 NATATION FAIRE,loisirs_sport
Qui a écrit le scénario de ce film ?,FILM SCÉNARIO ÉCRIRE QUI,questions_qui_que
Elle a besoin d'aide pour son devoir.,IX-3 AIDE BESOIN DEVOIR,education
"Si tu veux, nous pouvons aller au parc demain.",IX-2 VOULOIR SI IX-1-PL PARC ALLER POUVOIR DEMAIN,phrases_complexes
"Demain, je vais à la plage.",DEMAIN IX-1 PLAGE ALLER,temps
Ma sœur aime les pommes.,POSS-1 SŒUR POMME AIMER,possessifs
Elle a cinq bonbons.,IX-3 BONBON 5 AVOIR,nombres_quantites
Nous avons attendu le métro sous le soleil.,IX-1-PL MÉTRO SOLEIL SOUS ATTENDRE,transport
Elle aime les musées.,MUSÉE IX-3 AIMER,lieux_villes
Ils travaillent dans un bureau.,IX-3-PL BUREAU TRAVAILLER,vie_quotidienne
Les grands-parents racontent des contes.,GRAND-PARENT+ CONTE RACONTER,pluriels
Je ne participe plus à des ateliers d'écriture.,IX-1 ATELIER ÉCRITURE PARTICIPER PLUS,negation_autres
"Le mois prochain, elle regardera le film en version originale sous-titrée.",MOIS PROCHAIN IX-3 FILM VERSION ORIGINALE SOUS-TITRÉE REGARDER,temps_futur
Elle sait jouer de la guitare.,GUITARE JOUER IX-3 SAVOIR,verbes_modaux
Le vent est plus violent que la brise.,VENT BRISE PLUS VIOLENT,comparaisons
Elle a trois enfants et deux chats.,IX-3 ENFANT+ 3 CHAT 2,nombres_quantites
Tu es impressionné par ce tableau.,TABLEAU IX-2 IMPRESSIONNER,sentiments_emotions
Vous ne décorez pas la salle pour le réveillon.,IX-2-PL RÉVEILLON SALLE DÉCORER PAS,negation_pas
Mon scooter est rouge.,POSS-1 SCOOTER ROUGE,possessifs
Que fais-tu avec ce niveau à bulle ?,NIVEAU BULLE IX-2 FAIRE QUOI,questions_qui_que
Pourquoi as-tu décidé de réparer toi-même cette chaise ?,IX-2 CHAISE RÉPARER DÉCIDER POURQUOI,questions_ouvertes
Elle a consulté un spécialiste.,IX-3 SPÉCIALISTE CONSULTER,sante
"Demain matin, je me réveillerai tôt.",DEMAIN MATIN IX-1 TÔT RÉVEILLER,temps
Le bus est en retard à cause de la circulation.,CIRCULATION BUS RETARD,transport
"La semaine prochaine, elle va préparer un gâteau pour son anniversaire.",SEMAINE PROCHAINE IX-3 ANNIVERSAIRE GÂTEAU PRÉPARER,temps_futur
"Il y a trois jours, tu as fait du roller.",TROIS JOUR AVANT IX-2 ROLLER FAIRE,temps_passe
Le charpentier a réparé le toit.,CHARPENTIER TOIT RÉPARER,lieux_batiments
Nous avons participé à une assemblée générale.,ASSEMBLÉE GÉNÉRALE IX-1-PL PARTICIPER FINIR,pronoms_on_nous
Ils sont tristes de la perte d'un patient.,IX-3-PL TRISTE PERTE PATIENT,sentiments_emotions
Rangez les compresses dans le tiroir du bas.,COMPRESSE TIROIR BAS RANGER,maison_logement
Nous avons une réunion.,IX-1-PL RÉUNION AVOIR,travail
C'est le plus beau monument de la ville.,MONUMENT VILLE PLUS BEAU,comparaisons
Nous mettons de l'argent dans une tirelire en forme de cochon.,IX-1-PL TIRELIRE COCHON ARGENT METTRE,temps_present_habitude
Nous avons visité le musée et nous avons vu des œuvres d'art magnifiques.,IX-1-PL MUSÉE VISITER IX-1-PL ŒUVRE+ ART MAGNIFIQUE+ VOIR,phrases_complexes
Vous allez au parc ?,PARC IX-2-PL ALLER,lieux
Comment s'appelait le frère de Louis XIV ?,LOUIS QUATORZE FRERE APPELER COMMENT,questions_ouvertes
Ils changent les poignées des portes.,IX-3-PL PORTE POIGNÉE CHANGER,maison_logement
Vous avez déjà utilisé un scanner à la bibliothèque ?,BIBLIOTHÈQUE SCANNER IX-2-PL UTILISER,lieux_batiments
Ils ont décoré la maison avec des guirlandes.,MAISON IX-3-PL GUIRLANDE+ DÉCORER,alimentation
Je jardine chaque matin.,IX-1 JARDINER CHAQUE MATIN,travail
Tu es plus musclé que lui.,IX-2 MUSCLE PLUS IX-3,comparaisons
Tu photographies les paysages urbains et tu les partages sur les réseaux sociaux.,IX-2 PAYSAGE URBAIN PHOTOGRAPHIER RÉSEAU SOCIAL PARTAGER,phrases_complexes_et
Elle va à la plage pour bronzer.,PLAGE BRONZER IX-3 ALLER,lieux
Croyez-vous en la rédemption ?,IX-2 RÉDEMPTION CROIRE ?,questions_fermees
Il vaut mieux s'échauffer avant de nager.,ECHAUFFER AVANT NAGER VAUT MIEUX,il_impersonnel_verbe
Elle boit un café en attendant le métro.,IX-3 CAFÉ BOIRE MÉTRO ATTENDRE,transport
La guerre de Cent Ans a duré 116 ans.,116 AN GUERRE CENT ANS DURER,heure_horaires
Tu as acheté des outils pour bricoler.,OUTIL+ BRICOLER POSS-2 AVOIR ACHETER,lieux_batiments
"Pour réparer la chaîne du vélo, utilise une pince.",CHAÎNE RÉPARER PINCE UTILISER VÉLO,transport
"Hier, j'ai reçu une lettre de mon ami.",HIER IX-1 AMI LETTRE RECEVOIR,temps_passe
Nous avons des bagues en argent.,IX-1-PL BAGUE ARGENT,descriptions_personnes
Le bateau est cher.,BATEAU CHER,adjectifs_descriptifs
Nous avons trente-sept cousins.,IX-1-PL COUSIN+ 37,nombres_quantites
Nous avons une réunion importante demain.,DEMAIN IX-1-PL RÉUNION IMPORTANT AVOIR,travail
Danse sur cette musique entraînante !,DANSE MUSIQUE ENTRAÎNANTE SUR,ordres_imperatif
Quand tu changes les draps ?,IX-2 DRAP+ CHANGER QUAND,questions_ouvertes
Nous avons invité des voisins pour le repas.,REPAS IX-1-PL VOISIN+ INVITER,alimentation
Tu bois du café ?,IX-2 CAFÉ BOIRE ?,alimentation
Les joueurs de football sont rapides.,JOUEUR FOOTBALL RAPIDE,adjectifs_descriptifs
Ils préfèrent les jonquilles.,IX-3-PL JONQUILLE+ PRÉFÉRER,svo_simple
"Apporte un parapluie, il pleut depuis ce matin.",PARAPLUIE APPORTER MATIN DEPUIS PLUIE,famille
"Avant-hier, j'ai pris un bus pour la montagne.",AVANT-HIER IX-1 BUS MONTAGNE PRENDRE,temps_passe
