fr,gloss,category
Je bois du café.,IX-1 CAFÉ BOIRE,phrases_simples
Tu écris une lettre.,IX-2 LETTRE ÉCRIRE,phrases_simples
Il joue au football.,IX-3 FOOTBALL JOUER,phrases_simples
Elle prépare le dîner.,IX-3 DINER PRÉPARER,phrases_simples
Nous visitons Paris.,IX-1-PL PARIS VISITER,phrases_simples
Vous achetez des fruits.,IX-2-PL FRUIT+ ACHETER,phrases_simples
Ils regardent un film.,IX-3-PL FILM REGARDER,phrases_simples
On prend le bus.,IX-1-PL BUS PRENDRE,phrases_simples
Je fais mes devoirs.,IX-1 DEVOIR+ FAIRE,phrases_simples
Tu écoutes de la musique.,IX-2 MUSIQUE ÉCOUTER,phrases_simples
Il conduit une voiture.,IX-3 VOITURE CONDUIRE,phrases_simples
Elle aime les fleurs.,IX-3 FLEUR+ AIMER,phrases_simples
Nous allons à l'école.,IX-1-PL ÉCOLE ALLER,phrases_simples
Vous lisez un journal.,IX-2-PL JOURNAL LIRE,phrases_simples
Ils mangent du pain.,IX-3-PL PAIN MANGER,phrases_simples
On regarde la télévision.,IX-1-PL TÉLÉVISION REGARDER,phrases_simples
Je travaille dur.,IX-1 TRAVAILLER DUR,phrases_simples
Tu parles français.,IX-2 FRANÇAIS PARLER,phrases_simples
Il boit de l'eau.,IX-3 EAU BOIRE,phrases_simples
Elle danse bien.,IX-3 BIEN DANCER,phrases_simples
Nous aimons le sport.,IX-1-PL SPORT AIMER,phrases_simples
Vous buvez du thé.,IX-2-PL THÉ BOIRE,phrases_simples
Ils jouent aux échecs.,IX-3-PL ÉCHEC+ JOUER,phrases_simples
On fait du vélo.,IX-1-PL VÉLO FAIRE,phrases_simples
Je lis un magazine.,IX-1 MAGAZINE LIRE,phrases_simples
Tu prépares le petit-déjeuner.,IX-2 PETIT-DÉJEUNER PRÉPARER,phrases_simples
Il aime le chocolat.,IX-3 CHOCOLAT AIMER,phrases_simples
Elle écoute de la musique classique.,IX-3 MUSIQUE CLASSIQUE ÉCOUTER,phrases_simples
Nous regardons un match de football.,IX-1-PL MATCH FOOTBALL REGARDER,phrases_simples
Vous mangez des pâtes.,IX-2-PL PÂTE+ MANGER,phrases_simples
Ils prennent le métro.,IX-3-PL MÉTRO PRENDRE,phrases_simples
On visite un musée.,IX-1-PL MUSÉE VISITER,phrases_simples
Je fais du shopping.,IX-1 SHOPPING FAIRE,phrases_simples
