fr,gloss,category,gloss_rules,match
Je bois du café.,IX-1 CAFÉ BOIRE,phrases_simples,IX-1 CAFÉ BOIRE,True
Tu écoutes de la musique.,IX-2 MUSIQUE ÉCOUTER,phrases_simples,TU ÉCOUTE+ MUSIQUE,False
Il écrit une lettre.,IX-3 LETTRE ÉCRIRE,phrases_simples,IX-3 LETTRE ÉCRIRE,True
Nous préparons le dîner.,IX-1-PL DINER PRÉPARER,phrases_simples,IX-1-PL DÎNER PRÉPARER,False
Vous visitez un musée.,IX-2-PL MUSÉE VISITER,phrases_simples,IX-2-PL MUSÉE VISITER,True
Ils jouent au football.,IX-3-PL FOOTBALL JOUER,phrases_simples,IX-3-PL FOOTBALL JOUER,True
Je vois mes amis.,IX-1 POSS-1 AMI+ VOIR,phrases_simples,IX-1 POSS-1 AMI+ VOIR,True
Tu achètes des fruits.,IX-2 FRUIT+ ACHETER,phrases_simples,TU FRUIT+ ACHETER,False
Elle porte une robe.,IX-3 ROBE PORTER,phrases_simples,IX-3 ROBE PORTER,True
Nous allons à l'école.,IX-1-PL ÉCOLE ALLER,phrases_simples,IX-1-PL ÉCOLE ALLER,True
Vous lisez un journal.,IX-2-PL JOURNAL LIRE,phrases_simples,IX-2-PL JOURNAL LIRE,True
Ils regardent un film.,IX-3-PL FILM REGARDER,phrases_simples,IX-3-PL FILM REGARDER,True
Je prends le bus.,IX-1 BUS PRENDRE,phrases_simples,IX-1 BUS PRENDRE,True
Tu manges une pizza.,IX-2 PIZZA MANGER,phrases_simples,TU PIZZA MANGER,False
Il conduit une voiture.,IX-3 VOITURE CONDUIRE,phrases_simples,IX-3 VOITURE CONDUIRE,True
Nous buvons de l'eau.,IX-1-PL EAU BOIRE,phrases_simples,IX-1-PL EAU BOIRE,True
Vous écoutez un podcast.,IX-2-PL PODCAST ÉCOUTER,phrases_simples,IX-2-PL PODCAST ÉCOUTER,True
Ils jouent aux échecs.,IX-3-PL ÉCHEC+ JOUER,phrases_simples,IX-3-PL ÉCHEC+ JOUER,True
Je fais mes devoirs.,IX-1 POSS-1 DEVOIR+ FAIRE,phrases_simples,IX-1 POSS-1 DEVOIR+ FAIRE,True
Tu prépares un gâteau.,IX-2 GÂTEAU PRÉPARER,phrases_simples,TU GÂTEAU PRÉPARER,False
Elle regarde la télévision.,IX-3 TÉLÉVISION REGARDER,phrases_simples,IX-3 TÉLÉVISION REGARDER,True
Nous visitons un parc.,IX-1-PL PARC VISITER,phrases_simples,IX-1-PL PARC VISITER,True
Vous lisez un livre.,IX-2-PL LIVRE LIRE,phrases_simples,IX-2-PL LIVRE LIRE,True
Ils jouent au tennis.,IX-3-PL TENNIS JOUER,phrases_simples,IX-3-PL TENNIS JOUER,True
Je bois un jus d'orange.,IX-1 JUS D'ORANGE BOIRE,phrases_simples,IX-1 BOIS ORANGE JUS,False
Tu manges une salade.,IX-2 SALADE MANGER,phrases_simples,TU SALADE MANGER,False
Il écrit un rapport.,IX-3 RAPPORT ÉCRIRE,phrases_simples,IX-3 RAPPORT ÉCRIRE,True
Nous regardons un match.,IX-1-PL MATCH REGARDER,phrases_simples,IX-1-PL MATCH REGARDER,True
Vous écoutez de la musique classique.,IX-2-PL MUSIQUE CLASSIQUE ÉCOUTER,phrases_simples,IX-2-PL MUSIQUE CLASSIQUE ÉCOUTER,True
Ils jouent au basket.,IX-3-PL BASKET JOUER,phrases_simples,IX-3-PL BASKET JOUER,True
Je fais du vélo.,IX-1 VÉLO FAIRE,phrases_simples,IX-1 VÉLO FAIRE,True
Tu prépares le petit-déjeuner.,IX-2 PETIT-DÉJEUNER PRÉPARER,phrases_simples,TU PETIT-DÉJEUNER PRÉPARER,False
Elle lit un magazine.,IX-3 MAGAZINE LIRE,phrases_simples,IX-3 MAGAZINE LIRE,True
Nous visitons un zoo.,IX-1-PL ZOO VISITER,phrases_simples,IX-1-PL ZOO VISITER,True
Vous regardez un documentaire.,IX-2-PL DOCUMENTAIRE REGARDER,phrases_simples,IX-2-PL DOCUMENTAIRE REGARDER,True
Ils jouent aux cartes.,IX-3-PL CARTE+ JOUER,phrases_simples,IX-3-PL CARTE+ JOUER,True
Je prends un café.,IX-1 CAFÉ PRENDRE,phrases_simples,IX-1 CAFÉ PRENDRE,True
Tu manges une pomme.,IX-2 POMME MANGER,phrases_simples,TU POMME MANGER,False
Il conduit un camion.,IX-3 CAMION CONDUIRE,phrases_simples,IX-3 CAMION CONDUIRE,True
Nous buvons du thé.,IX-1-PL THÉ BOIRE,phrases_simples,IX-1-PL THÉ BOIRE,True
Vous écoutez un concert.,IX-2-PL CONCERT ÉCOUTER,phrases_simples,IX-2-PL CONCERT ÉCOUTER,True
Ils jouent au golf.,IX-3-PL GOLF JOUER,phrases_simples,IX-3-PL GOLF JOUER,True
Je fais mes courses.,IX-1 POSS-1 COURSE+ FAIRE,phrases_simples,IX-1 POSS-1 COURSE+ FAIRE,True
Tu prépares un sandwich.,IX-2 SANDWICH PRÉPARER,phrases_simples,TU SANDWICH PRÉPARER,False
Elle regarde un film.,IX-3 FILM REGARDER,phrases_simples,IX-3 FILM REGARDER,True
Nous visitons un aquarium.,IX-1-PL AQUARIUM VISITER,phrases_simples,IX-1-PL AQUARIUM VISITER,True
